f_1_name,f_2_name,event_date,Y,delta_reach_cm,delta_height_cm,delta_age,delta_SlpM,delta_Str_Acc,delta_SApM,delta_Str_Def,delta_TD_Avg,delta_TD_Acc,delta_TD_Def,delta_Sub_Avg
Aiemann Zahabi,Sean O'Malley,2026-06-14,0,-10.159999999999997,-7.6200000000000045,6.92950034223135,-1.5100000000000007,-0.12,0.7100000000000004,0.09000000000000008,-0.11000000000000001,-0.27999999999999997,0.22999999999999998,-0.2
Derrick Lewis,Josh Hokit,2026-06-14,0,15.240000000000009,5.0800000000000125,12.761122518822724,-6.879999999999999,-0.16000000000000003,-2.49,-0.09999999999999998,-3.2,-0.21999999999999997,-0.26,-0.4
Michael Chandler,Mauricio Ruffy,2026-06-14,0,-10.159999999999997,-7.6200000000000045,10.149212867898697,-0.28000000000000025,-0.07999999999999996,0.6799999999999997,-0.15999999999999998,1.88,0.37,-0.25,0.5
Bo Nickal,Kyle Daukaus,2026-06-14,1,0.0,-2.5400000000000205,-2.877481177275836,0.19999999999999973,0.07999999999999996,-1.01,0.18,1.1500000000000001,0.31999999999999995,0.20999999999999996,0.2999999999999998
Diego Lopes,Steve Garcia,2026-06-14,1,-7.6200000000000045,-2.539999999999992,-2.6064339493497606,-1.67,-0.010000000000000009,2.43,-0.12999999999999995,0.04999999999999993,0.06,-0.20999999999999996,0.9
Gabriel Bonfim,Belal Muhammad,2026-06-06,1,0.0,5.079999999999984,-9.114305270362767,0.39999999999999947,0.04999999999999999,-0.31000000000000005,0.08999999999999997,0.5899999999999999,0.18000000000000005,-0.12,0.9
Brendan Allen,Edmen Shahbazyan,2026-06-06,1,2.539999999999992,0.0,1.897330595482547,-0.3099999999999996,0.040000000000000036,-0.0900000000000003,-0.030000000000000027,0.09000000000000008,0.04999999999999999,-0.09000000000000008,0.7000000000000001
Tom Nolan,Fares Ziam,2026-06-06,1,-5.0800000000000125,5.0800000000000125,-2.965092402464066,2.1599999999999997,-0.07,2.16,-0.15000000000000002,-0.78,-0.15999999999999998,-0.12,0.8999999999999999
Bryce Mitchell,Santiago Luna,2026-06-06,1,-10.159999999999997,2.5400000000000205,9.839835728952771,-2.5500000000000003,0.05999999999999994,-1.2499999999999998,-0.09000000000000008,0.8200000000000003,-0.35,-0.18999999999999995,0.4
Junior Tafa,Iwo Baraniewski,2026-06-06,0,5.0800000000000125,7.6200000000000045,2.1629021218343603,-7.82,-0.04999999999999993,-5.95,0.0,0.0,0.0,-0.28,0.0
