f_1_name,f_2_name,f_1_odds,f_2_odds,event_date,Y,delta_reach_cm,delta_height_cm,delta_age,delta_SlpM,delta_Str_Acc,delta_SApM,delta_Str_Def,delta_TD_Avg,delta_TD_Acc,delta_TD_Def,delta_Sub_Avg,delta_elo,delta_win_streak,delta_loss_streak,delta_win_rate_last_5,delta_ufc_win_rate,delta_ufc_fights,delta_rank,is_ranked_f1,is_ranked_f2,delta_win_rate_3y,delta_SlpM_3y,delta_SApM_3y,delta_TD_Def_3y
Jon Jones,Brandon Vera,2.06,1.77,2010-03-21,1,15.240000000000009,2.539999999999992,-9.77138945927447,1.35,0.019999999999999907,-0.5699999999999998,0.12,1.19,-0.08000000000000002,0.36,0.3,-8.67458969376321,0,0,0.15000000000000002,0.11363636363636365,-7,0.0,0.0,0.0,0.0,1.3499999999999996,-0.5699999999999994,0.36
Junior Dos Santos,Gabriel Gonzaga,1.88,1.93,2010-03-21,1,2.5400000000000205,5.079999999999984,-4.703627652292948,2.37,0.019999999999999962,0.3900000000000001,-0.009999999999999898,-2.5,0.10999999999999999,0.15000000000000002,-1.0,6.931566212447478,3,0,0.4,0.30000000000000004,-6,0.0,0.0,0.0,0.0,2.3699999999999997,0.3899999999999997,0.15000000000000002
Paul Buentello,Cheick Kongo,2.15,1.71,2010-03-21,0,-12.699999999999989,-5.079999999999984,1.330595482546201,-0.040000000000000036,-0.11000000000000004,2.55,-0.020000000000000018,-2.11,-0.23000000000000004,-0.13,0.2,-19.888451250566277,0,-1,-0.0,-0.036363636363636376,-6,-0.0,0.0,0.0,-0.0,-0.040000000000000036,2.55,-0.13
James Irvin,Alessio Sakara,2.05,1.78,2010-03-21,0,7.6200000000000045,5.0800000000000125,2.973305954825463,-1.9300000000000002,0.010000000000000009,1.06,-0.24,-2.18,-0.78,-0.26,0.5,-14.020452007503081,-2,1,-0.0,-0.05555555555555558,-1,-0.0,0.0,0.0,-0.0,-1.9300000000000006,1.0599999999999996,-0.26
Shannon Gugerty,Clay Guida,1.94,1.87,2010-03-21,0,2.539999999999992,7.6200000000000045,-0.06023271731690727,-1.38,0.06,-1.12,-0.030000000000000027,-0.9700000000000002,-0.07999999999999996,-0.16000000000000003,2.8,-12.756451300457684,0,-1,-0.09999999999999998,-0.0,-6,-0.0,0.0,0.0,-0.0,-1.38,-1.12,-0.16000000000000003
Darren Elkins,Duane Ludwig,1.95,1.86,2010-03-21,1,2.539999999999992,0.0,-5.782340862422998,-1.2200000000000002,-0.06,0.29000000000000004,-0.05999999999999994,2.44,0.09000000000000002,-0.029999999999999916,1.0,-17.3894507561688,0,-1,-0.16666666666666663,-0.16666666666666663,-3,0.0,0.0,0.0,0.5,0.029999999999999583,0.0,0.0
John Howard,Daniel Roberts,1.7,2.17,2010-03-21,1,-5.0800000000000125,-7.6200000000000045,-2.56810403832991,1.42,0.3,0.81,0.04999999999999999,0.2400000000000002,0.04999999999999999,0.13,-2.1,45.425694693466994,3,0,0.5,0.5,3,0.0,0.0,0.0,-0.5,0.029999999999999583,0.0,0.0
Brendan Schaub,Chase Gormley,1.76,2.08,2010-03-21,1,0.0,2.539999999999992,0.39972621492128724,-0.6800000000000002,-0.04999999999999999,-3.81,0.12999999999999995,-0.8000000000000003,0.040000000000000036,0.72,-0.6,-0.03770244165411896,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.6800000000000002,-3.81,0.72
Julio Paulino,Mike Pierce,1.88,1.93,2010-03-21,0,0.0,10.159999999999997,4.744695414099933,-1.6500000000000001,-0.14999999999999997,-0.48999999999999977,-0.14,-3.08,-0.42,-0.33999999999999997,0.3,-6.208571026882282,0,-1,-0.0,-0.0,-2,-0.0,0.0,0.0,0.5,0.029999999999999583,0.0,0.0
Eric Schafer,Jason Brilz,2.09,1.75,2010-03-21,0,12.699999999999989,10.159999999999997,-2.20670773442847,-0.7700000000000002,-0.06,1.5999999999999999,-0.08999999999999997,-0.56,0.10999999999999999,0.25,0.5,-13.737975328876018,0,0,-0.2666666666666666,-0.16666666666666663,3,-0.0,0.0,0.0,-0.0,-0.7700000000000002,1.5999999999999999,0.25
Vladimir Matyushenko,Eliot Marshall,2.12,1.73,2010-03-21,1,-7.6200000000000045,-5.0800000000000125,9.505817932922657,-0.030000000000000027,0.16999999999999998,-0.77,-0.08000000000000007,2.7800000000000002,0.13,-0.09000000000000008,-0.8,-12.894515957093972,-2,0,-0.4,-0.33333333333333337,3,0.0,0.0,0.0,0.0,-0.030000000000000027,-0.77,-0.09000000000000008
Fabricio Camoes,Kurt Pellegrino,2.16,1.7,2010-03-27,0,2.539999999999992,5.0800000000000125,0.3696098562628336,-1.1600000000000001,-0.09999999999999998,-0.08999999999999986,-0.020000000000000018,-0.56,-0.22000000000000003,-0.48999999999999994,0.7,-50.52942319438648,-3,0,-0.30000000000000004,-0.16666666666666663,-9,-0.0,0.0,0.0,0.5,0.029999999999999583,0.0,0.0
Georges St-Pierre,Dan Hardy,1.48,2.66,2010-03-27,1,5.079999999999984,-2.539999999999992,0.9938398357289522,1.3199999999999998,0.18000000000000005,-2.04,0.20999999999999996,3.43,0.39,0.48,0.7000000000000001,100.75285964620798,2,0,0.0,-0.1333333333333333,11,0.0,0.0,0.0,0.0,1.3200000000000003,-2.04,0.48
Frank Mir,Shane Carwin,1.88,1.93,2010-03-27,0,-2.539999999999992,2.539999999999992,-4.383299110198497,-2.1999999999999997,-0.0,0.31000000000000005,-0.15000000000000002,0.6000000000000001,0.07,0.12000000000000005,2.0,39.820992739664234,-2,0,-0.19999999999999996,-0.2666666666666667,12,-0.0,0.0,0.0,-0.0,-2.1999999999999997,0.31000000000000005,0.12000000000000005
Ben Saunders,Jon Fitch,2.54,1.52,2010-03-27,0,7.6200000000000045,5.0800000000000125,-5.130732375085561,0.6200000000000001,-0.0,1.9300000000000002,-0.030000000000000027,-3.4,-0.10999999999999999,0.09999999999999998,0.5,-84.83568232936886,-2,0,-0.0,-0.11666666666666659,-7,-0.0,0.0,0.0,-0.0,0.6199999999999997,1.9299999999999995,0.09999999999999998
Greg Soto,Matthew Riddle,2.11,1.74,2010-03-27,0,-7.6200000000000045,-5.079999999999984,-0.3832991101984966,0.20000000000000018,0.21000000000000002,-0.13000000000000034,-0.020000000000000018,-2.0199999999999996,-0.22999999999999998,-0.45,0.5,-29.135138141926518,0,-1,-0.25,-0.25,-4,-0.0,0.0,0.0,0.5,0.029999999999999583,0.0,0.0
Rory Markham,Nate Diaz,2.39,1.58,2010-03-27,0,-12.699999999999989,-0.0,3.0609171800136927,-2.5900000000000003,-0.24000000000000002,6.5,-0.07,-1.05,-0.3,-0.41,-1.3,-39.92867006392271,0,0,0.09999999999999998,-0.16666666666666663,-7,-0.0,0.0,0.0,-0.0,-2.5900000000000003,6.5,-0.41
Matt Brown,Ricardo Almeida,1.72,2.14,2010-03-27,0,2.539999999999992,-0.0,-4.114989733059549,1.7399999999999998,0.06000000000000005,1.72,-0.05999999999999994,-2.0600000000000005,0.08000000000000002,0.32,0.10000000000000009,25.811333668626276,1,0,0.20000000000000007,0.22857142857142865,-2,-0.0,0.0,0.0,-0.0,1.7399999999999993,1.72,0.32
Rousimar Palhares,Tomasz Drwal,1.88,1.93,2010-03-27,1,-12.699999999999989,-12.699999999999989,1.9055441478439406,-1.54,0.13,-0.21999999999999975,0.020000000000000018,0.38000000000000034,-0.14999999999999997,-0.82,3.6999999999999997,-2.1991040082075415,-1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.54,-0.21999999999999975,-0.82
Rodney Wallace,Jared Hamman,2.15,1.71,2010-03-27,0,-7.6200000000000045,-15.240000000000009,0.2902121834360045,-4.0200000000000005,0.040000000000000036,-0.4900000000000002,-0.10000000000000003,4.43,0.08000000000000002,-0.019999999999999962,1.0,0.06639850346937237,0,0,-0.0,-0.0,0,-0.0,0.0,0.0,-0.0,-4.0200000000000005,-0.4900000000000002,-0.019999999999999962
Jim Miller,Mark Bocek,1.75,2.09,2010-03-27,1,-10.159999999999997,0.0,-1.848049281314168,0.5800000000000001,-0.010000000000000009,1.1100000000000003,-0.039999999999999925,-2.16,0.09000000000000002,0.15999999999999998,0.3999999999999999,30.67087257990761,0,0,0.0,0.16666666666666674,0,0.0,0.0,0.0,0.0,0.5800000000000001,1.1100000000000003,0.15999999999999992
Takanori Gomi,Kenny Florian,2.42,1.57,2010-03-31,0,-10.159999999999997,-7.6200000000000045,-2.3244353182751496,1.4,0.009999999999999953,1.67,-0.030000000000000027,-0.9900000000000002,0.32,0.030000000000000027,-0.5,-104.63681227695065,-1,0,-0.30000000000000004,-0.2692307692307693,-13,-0.0,0.0,0.0,0.5,0.029999999999999583,0.0,0.0
Stefan Struve,Roy Nelson,1.86,1.95,2010-03-31,0,27.940000000000026,27.939999999999998,-11.663244353182755,0.94,0.10999999999999999,-0.75,-0.0,-0.5799999999999998,0.19,-0.09999999999999998,1.5999999999999999,17.516667611110734,2,0,-0.25,-0.25,3,-0.0,0.0,0.0,-0.0,0.94,-0.75,-0.09999999999999998
Nate Quarry,Jorge Rivera,1.75,2.09,2010-03-31,0,-2.539999999999992,-2.539999999999992,-0.05201916495551018,1.7999999999999998,-0.03999999999999998,0.1599999999999997,0.12,-0.59,-0.16999999999999998,-0.030000000000000027,-0.1,52.19412821324636,0,0,0.20000000000000007,0.23232323232323238,-2,-0.0,0.0,0.0,-0.0,1.7999999999999998,0.1599999999999997,-0.030000000000000027
Ross Pearson,Dennis Siver,1.72,2.13,2010-03-31,1,-2.5400000000000205,5.0800000000000125,-5.702943189596166,-0.18999999999999995,0.08000000000000002,1.42,-0.030000000000000027,-0.13,0.02999999999999997,0.09999999999999998,-0.3,10.72717313983344,-1,0,0.4,0.4285714285714286,-5,0.0,0.0,0.0,0.0,-0.1900000000000004,1.4200000000000004,0.09999999999999998
Rafaello Oliveira,Andre Winner,1.91,1.9,2010-03-31,0,-5.079999999999984,-7.6200000000000045,-0.21355236139630307,-0.33000000000000007,-0.0,-1.1900000000000004,0.07999999999999996,2.49,0.36,-0.63,1.6,-0.005876803833189115,0,0,-0.0,-0.0,0,-0.0,0.0,0.0,-0.0,-0.33000000000000007,-1.1900000000000004,-0.63
Rob Emerson,Nik Lentz,1.79,2.04,2010-03-31,0,5.0800000000000125,2.539999999999992,3.0390143737166326,-0.94,-0.16999999999999998,-0.41999999999999993,0.14,-1.2799999999999998,0.2,0.22000000000000003,-0.7999999999999999,-5.2136388606261335,0,0,-0.4,-0.4,4,-0.0,0.0,0.0,-0.0,-0.94,-0.41999999999999993,0.22000000000000003
Caol Uno,Gleison Tibau,2.23,1.66,2010-03-31,0,-2.539999999999992,-7.6200000000000045,8.416153319644078,-0.040000000000000036,0.18,-0.6099999999999999,-0.13,-2.13,-0.22000000000000003,-0.55,-0.30000000000000004,-41.1638777402643,-1,2,-0.19999999999999996,-0.17142857142857143,-3,-0.0,0.0,0.0,-0.0,-0.040000000000000036,-0.6099999999999999,-0.55
Yushin Okami,Lucio Linhares,1.54,2.49,2010-03-31,1,0.0,0.0,-7.616700889801503,1.07,0.16,-1.2200000000000002,0.25999999999999995,0.11999999999999988,-0.10999999999999999,0.33999999999999997,-1.4,92.04028572952666,0,0,0.6,0.7777777777777778,8,0.0,0.0,0.0,0.0,1.07,-1.2200000000000002,0.33999999999999997
